,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,staryviolet,•Stary•,1.22911E+18,1.24659E+18,/staryviolet/status/1246587667313295362,04-04-2020 23:57,1586044635,#NAME?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1242057532824322057"" dir=""ltr"" href=""/RamenBo_""><s>@</s><b>Ramenbo_</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> <img alt=""👀"" aria-label=""Emoji: Eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f440.png"" title=""Eyes""/></p>",[],[],FALSE,[],,1,0,1,TRUE,TRUE,1.24659E+18,"[{'screen_name': 'SugarSweeterUwU', 'user_id': '1203049759445016577'}]"
1,essygrace__,Esther Briggs,1.09546E+18,1.24659E+18,/essygrace__/status/1246585114903089152,04-04-2020 23:47,1586044026,Got @dunkindonuts on my way to work yesterday and the forgot the Caramel in my Caramel Machiatto ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Got <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> on my way to work yesterday and the forgot the Caramel in my Caramel Machiatto <img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/></p>",[],[],FALSE,[],,0,0,0,FALSE,FALSE,,[]
2,KD4ZNE,JASON SCHATTEN,171733277,1.24659E+18,/KD4ZNE/status/1246585030169759745,04-04-2020 23:46,1586044006,I will be contacting the president and Human Resources to file corporate complaints and if I do not get a response I will be contacting news outlets,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I will be contacting the president and Human Resources to file corporate complaints and if I do not get a response I will be contacting news outlets</p>",[],[],FALSE,[],,1,0,0,FALSE,TRUE,1.24622E+18,"[{'screen_name': 'silvaticurse', 'user_id': '1083326202457321472'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
3,KD4ZNE,JASON SCHATTEN,171733277,1.24658E+18,/KD4ZNE/status/1246584659951136768,04-04-2020 23:45,1586043918,Furthermore this new manager yelled at my daughter and another coworker for talking to each other and tells them they cannot have personal conversations and then gives free food  and drinks to her family! What is more personal? What about freedom of speech?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Furthermore this new manager yelled at my daughter and another coworker for talking to each other and tells them they cannot have personal conversations and then gives free food  and drinks to her family! What is more personal? What about freedom of speech?</p>",[],[],FALSE,[],,1,0,0,FALSE,TRUE,1.24622E+18,"[{'screen_name': 'silvaticurse', 'user_id': '1083326202457321472'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
4,RoyTheLucario,🇺🇲roy🇲🇽,9.21934E+17,1.24658E+18,/RoyTheLucario/status/1246582131272421382,04-04-2020 23:35,1586043315,I KNOW RIGHT?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I KNOW RIGHT?</p>",[],[],FALSE,[],,2,1,0,FALSE,TRUE,1.21679E+18,"[{'screen_name': 'cookiecrispss1', 'user_id': '1184937588467159044'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
5,PrincipalNHS12,Principal_NHS,1.24215E+18,1.24658E+18,/PrincipalNHS12/status/1246580598921203712,04-04-2020 23:29,1586042949,"From @Northport_HS Emilia @PrincipalNHS12 Danbusky packing care packages for nurses at at Winthrop Hospital with coffee from @dunkindonuts and lotion from @beautycounterhq and yummies from @girlscouts 

##showyourstripespic.twitter.com/x4rIcl0qE8","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">From <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2842011376"" dir=""ltr"" href=""/Northport_HS""><s>@</s><b>Northport_HS</b></a> Emilia <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1242145654039875585"" dir=""ltr"" href=""/PrincipalNHS12""><s>@</s><b>PrincipalNHS12</b></a> Danbusky packing care packages for nurses at at Winthrop Hospital with coffee from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> and lotion from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1202985570"" dir=""ltr"" href=""/beautycounterhq""><s>@</s><b>beautycounterhq</b></a> and yummies from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""103018203"" dir=""ltr"" href=""/girlscouts""><s>@</s><b>girlscouts</b></a> 

#<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/showyourstripes?src=hash""><s>#</s><b>showyourstripes</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/x4rIcl0qE8"">pic.twitter.com/x4rIcl0qE8</a></p>",[],['showyourstripespic'],TRUE,['https://pbs.twimg.com/media/EUy-cTjXYAIlhgz.jpg'],,20,1,0,FALSE,FALSE,,[]
6,WuhanKlan,China Virus,1.14522E+18,1.24658E+18,/WuhanKlan/status/1246580437956337667,04-04-2020 23:28,1586042911,"Specifically Town and Country, Tampa, FL.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Specifically Town and Country, Tampa, FL.</p>",[],[],FALSE,[],,1,0,0,FALSE,TRUE,1.24658E+18,"[{'screen_name': 'lovely_leah_x', 'user_id': '1206085462630244353'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
7,lovely_leah_x,(((Leah))) ✡︎,1.20609E+18,1.24658E+18,/lovely_leah_x/status/1246579197226688513,04-04-2020 23:23,1586042615,Does anyone know if @dunkindonuts is open for take out orders? ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Does anyone know if <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> is open for take out orders? <img alt=""🍩"" aria-label=""Emoji: Doughnut"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f369.png"" title=""Doughnut""/></p>",[],[],FALSE,[],,5,0,1,TRUE,FALSE,,[]
8,silvaticurse,Red @ Essential Hell,1.08333E+18,1.24658E+18,/silvaticurse/status/1246579036228288517,04-04-2020 23:22,1586042577,"This is happening at Dunkins acroas the country. The corporation doesn't care about their employees, only about the money they are making. They are not focusing on what's right by the people who work for them which is sickening.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This is happening at Dunkins acroas the country. The corporation doesn't care about their employees, only about the money they are making. They are not focusing on what's right by the people who work for them which is sickening.</p>",[],[],FALSE,[],,2,0,2,TRUE,TRUE,1.24622E+18,"[{'screen_name': 'KD4ZNE', 'user_id': '171733277'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
9,stephrussss,Stephanie Russell,400949345,1.24658E+18,/stephrussss/status/1246577449195966472,04-04-2020 23:16,1586042198,I just had my first @dunkindonuts Caramel Iced Coffee... Now I understand @charlidamelio’s obsession! Can’t wait to go back tomorrow ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I just had my first <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> Caramel Iced Coffee... Now I understand <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1016008321"" dir=""ltr"" href=""/charlidamelio""><s>@</s><b>charlidamelio</b></a>’s obsession! Can’t wait to go back tomorrow <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/></p>",[],[],FALSE,[],,1,0,0,FALSE,FALSE,,[]
