,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,trackerem,trackerem,287647587,1249487438373965825,/trackerem/status/1249487438373965825,2020-04-12 23:59:54,1586735994,#mcdonalds vs #churchhttps://twitter.com/CHIZMAGA/status/1249481623768162304 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mcdonalds?src=hash""><s>#</s><b><strong>mcdonalds</strong></b></a> vs <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/church?src=hash""><s>#</s><b>church</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CHIZMAGA/status/1249481623768162304"" dir=""ltr"" href=""https://t.co/8DCj43oSOb"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CHIZMAGA/status/1249481623768162304""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CHIZMAGA/statu</span><span class=""invisible"">s/1249481623768162304</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/CHIZMAGA/status/1249481623768162304'],"['mcdonalds', 'churchhttps']",False,[],,0,0,0,False,False,,[]
1,69drugnumber,Population: Growing!,1136326456445952000,1249487414923419648,/69drugnumber/status/1249487414923419648,2020-04-12 23:59:48,1586735988,If what they're doing to black people in China is racist then doing the same thing to Chinese people in Africa is just as racist.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">If what they're doing to black people in China is racist then doing the same thing to Chinese people in Africa is just as racist.</p>",[],[],False,[],,0,0,0,False,True,1249011762638266374,"[{'screen_name': 'br4tshawty', 'user_id': '1090717895670124544'}, {'screen_name': 'hieverya', 'user_id': '137599478'}]"
2,iluvsan69,↺ ece ⁷,934161224643866624,1249487404781666309,/iluvsan69/status/1249487404781666309,2020-04-12 23:59:46,1586735986,oh no i want mcdonalds,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">oh no i want <strong>mcdonalds</strong></p>",[],[],False,[],,0,0,0,False,False,,[]
3,joe_saskatoon,Joe_Saskatoon,865992112591863808,1249487381297631232,/joe_saskatoon/status/1249487381297631232,2020-04-12 23:59:40,1586735980,#yxe #covid19sk #covid19Canada #covidcanada #McDonalds https://twitter.com/BradyLangSK/status/1249475225399394306 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yxe?src=hash""><s>#</s><b>yxe</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/covid19sk?src=hash""><s>#</s><b>covid19sk</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/covid19Canada?src=hash""><s>#</s><b>covid19Canada</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/covidcanada?src=hash""><s>#</s><b>covidcanada</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b><strong>McDonalds</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/BradyLangSK/status/1249475225399394306"" dir=""ltr"" href=""https://t.co/6xEmthik5r"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/BradyLangSK/status/1249475225399394306""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/BradyLangSK/st</span><span class=""invisible"">atus/1249475225399394306</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/BradyLangSK/status/1249475225399394306'],"['yxe', 'covid19sk', 'covid19Canada', 'covidcanada', 'McDonalds']",False,[],,0,0,0,False,False,,[]
4,titocortes_,Tito Cortés Cudinach,898268258314399745,1249487358384357387,/titocortes_/status/1249487358384357387,2020-04-12 23:59:35,1586735975,Del McDonalds?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Del <strong>McDonalds</strong>?</p>",[],[],False,[],,2,1,1,True,True,1249486993630941188,"[{'screen_name': 'AlexChiner', 'user_id': '399714375'}]"
5,luizoneeLM,🖤,1219286170552676353,1249487312955871232,/luizoneeLM/status/1249487312955871232,2020-04-12 23:59:24,1586735964,I’m bouta go get some fuckin McDonalds if they don’t start cooking up the meat,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I’m bouta go get some fuckin <strong>McDonalds</strong> if they don’t start cooking up the meat</p>",[],[],False,[],,1,0,0,False,False,,[]
6,Max27pablo,Max Pablo,1241145464159907845,1249487296648413185,/Max27pablo/status/1249487296648413185,2020-04-12 23:59:20,1586735960,"Nossa devo@estar grávida, vontade de uma batata @McDonalds_BR","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Nossa devo@estar grávida, vontade de uma batata <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""54973131"" dir=""ltr"" href=""/McDonalds_BR""><s>@</s><b><strong>McDonalds</strong>_BR</b></a></p>",[],[],False,[],,0,0,2,True,False,,[]
7,ColdDryce,Dryce,1082879244231942144,1249487273265188865,/ColdDryce/status/1249487273265188865,2020-04-12 23:59:14,1586735954,elite smash is literally  just people trying to cheese you and rage quitting when they fail or some ness main playing from mcdonalds,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">elite smash is literally  just people trying to cheese you and rage quitting when they fail or some ness main playing from <strong>mcdonalds</strong></p>",[],[],False,[],,3,0,1,True,False,,[]
8,A55J4CK50N,A55J4CK50N,837148418946531333,1249487262020239365,/A55J4CK50N/status/1249487262020239365,2020-04-12 23:59:12,1586735952,These things got more zap than McDonalds sprite.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">These things got more zap than <strong>McDonalds</strong> sprite.</p>",[],[],False,[],,0,0,0,False,False,,[]
9,vespertilioAJR,Mike Pence - Professional Mannequin,716750760734822400,1249487258421428230,/vespertilioAJR/status/1249487258421428230,2020-04-12 23:59:11,1586735951,Not unless they worked in McDonalds.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Not unless they worked in <strong>McDonalds</strong>.</p>",[],[],False,[],,6,0,0,False,True,1249461595664719873,"[{'screen_name': 'MysterySolvent', 'user_id': '1094713876132872192'}]"
